s_no,category,question,answer,difficulty,grade_level,source,keyword_tag
1557,Mathematics,What is the area of a rectangle with length 8 cm and width 15 cm?,120 cm²,Medium,Class 12,CDC Nepal,Mensuration
1558,Mathematics,Solve for x: 2x + 21 = 55,x = 17,Basic,Class 7,Nepal Curriculum,Linear Equations
1559,Mathematics,What is the value of π approximately to two decimal places?,3.14,Medium,Class 9,NCERT,Circles
1560,Mathematics,What is the HCF of 12 and 18?,6,Advanced,Class 6,NCERT,HCF and LCM
1561,Mathematics,What is the number of sides in a hexagon?,6,Advanced,Class 6,Nepal Curriculum,Polygons
1562,Mathematics,Solve for x: 4x + 14 = 34,x = 5,Basic,Class 7,CBSE,Linear Equations
1563,Mathematics,What is the sum of 88 and 87?,175,Basic,Class 9,Nepal Curriculum,Addition
1564,Mathematics,What is the sum of 49 and 80?,129,Basic,Class 9,CDC Nepal,Addition
1565,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Basic,Class 7,CDC Nepal,Circles
1566,Mathematics,What is the slope of the line y = 2x + 3?,2,Medium,Class 11,NCERT,Coordinate Geometry
1567,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Medium,Class 8,CBSE,Triangles
1568,Mathematics,What is the slope of the line y = 2x + 3?,2,Advanced,Class 9,CDC Nepal,Coordinate Geometry
1569,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Medium,Class 8,Nepal Curriculum,Algebra
1570,Mathematics,Solve for x: 5x + 13 = 83,x = 14,Medium,Class 10,NCERT,Linear Equations
1571,Mathematics,What is the area of a rectangle with length 11 cm and width 3 cm?,33 cm²,Basic,Class 11,Nepal Curriculum,Mensuration
1572,Mathematics,What is the area of a rectangle with length 4 cm and width 6 cm?,24 cm²,Medium,Class 8,CDC Nepal,Mensuration
1573,Mathematics,Solve for x: 5x + 8 = 98,x = 18,Medium,Class 11,NCERT,Linear Equations
1574,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Medium,Class 7,CDC Nepal,Geometry
1575,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Basic,Class 7,CBSE,Circles
1576,Mathematics,What is 68 multiplied by 14?,952,Basic,Class 9,Nepal Curriculum,Multiplication
1577,Mathematics,Solve for x: 5x + 6 = 16,x = 2,Basic,Class 7,CBSE,Linear Equations
1578,Mathematics,What is 12 minus 97?,-85,Basic,Class 9,CBSE,Subtraction
1579,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Basic,Class 10,CDC Nepal,Quadratic Equations
1580,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Medium,Class 6,CDC Nepal,Mensuration
1581,Mathematics,What is 16 minus 21?,-5,Basic,Class 10,CBSE,Subtraction
1582,Mathematics,Solve for x: 5x + 20 = 90,x = 14,Basic,Class 8,Nepal Curriculum,Linear Equations
1583,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Medium,Class 9,Nepal Curriculum,Fractions and Decimals
1584,Mathematics,What is the slope of the line y = 2x + 3?,2,Advanced,Class 11,CBSE,Coordinate Geometry
1585,Mathematics,What is 68 minus 28?,40,Advanced,Class 12,CBSE,Subtraction
1586,Mathematics,Solve: 3y - 7 = 14,y = 7,Medium,Class 7,NCERT,Linear Equations
1587,Mathematics,What is the area of a rectangle with length 12 cm and width 4 cm?,48 cm²,Basic,Class 12,NCERT,Mensuration
1588,Mathematics,What is the value of sin 30°?,01-Feb,Medium,Class 10,Nepal Curriculum,Trigonometry
1589,Mathematics,What is the slope of the line y = 2x + 3?,2,Medium,Class 7,NCERT,Coordinate Geometry
1590,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Basic,Class 9,CBSE,Statistics
1591,Mathematics,What is the area of a rectangle with length 10 cm and width 9 cm?,90 cm²,Basic,Class 12,CDC Nepal,Mensuration
1592,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Medium,Class 6,CBSE,Fractions and Decimals
1593,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Medium,Class 10,CBSE,Quadratic Equations
1594,Mathematics,Find the value of tan 45°.,1,Basic,Class 10,CDC Nepal,Trigonometry
1595,Mathematics,Solve: 3y - 7 = 14,y = 7,Advanced,Class 7,NCERT,Linear Equations
1596,Mathematics,What is the area of a rectangle with length 12 cm and width 9 cm?,108 cm²,Basic,Class 12,NCERT,Mensuration
1597,Mathematics,What is the area of a rectangle with length 11 cm and width 12 cm?,132 cm²,Advanced,Class 12,NCERT,Mensuration
1598,Mathematics,What is 68 minus 80?,-12,Medium,Class 12,NCERT,Subtraction
1599,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Basic,Class 8,CDC Nepal,Commercial Mathematics
1600,Mathematics,What is 57 multiplied by 38?,2166,Advanced,Class 12,CBSE,Multiplication
1601,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Medium,Class 8,CDC Nepal,Mensuration
1602,Mathematics,What is 29 multiplied by 57?,1653,Medium,Class 6,CBSE,Multiplication
1603,Mathematics,What is the slope of the line y = 2x + 3?,2,Medium,Class 11,CDC Nepal,Coordinate Geometry
1604,Mathematics,What is the number of sides in a hexagon?,6,Medium,Class 6,NCERT,Polygons
1605,Mathematics,What is the value of π approximately to two decimal places?,3.14,Medium,Class 10,Nepal Curriculum,Circles
1606,Mathematics,Solve for x: 3x + 21 = 33,x = 4,Basic,Class 8,NCERT,Linear Equations
1607,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Medium,Class 12,CBSE,Quadratic Equations
1608,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 6,NCERT,Mensuration
1609,Mathematics,What is the area of a rectangle with length 11 cm and width 4 cm?,44 cm²,Basic,Class 10,CDC Nepal,Mensuration
1610,Mathematics,What is the HCF of 12 and 18?,6,Medium,Class 6,CBSE,HCF and LCM
1611,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 6,Nepal Curriculum,Polygons
1612,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Advanced,Class 7,CBSE,Linear Equations
1613,Mathematics,What is the HCF of 12 and 18?,6,Advanced,Class 6,NCERT,HCF and LCM
1614,Mathematics,Find the value of tan 45°.,1,Basic,Class 10,Nepal Curriculum,Trigonometry
1615,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Basic,Class 10,CDC Nepal,Quadratic Equations
1616,Mathematics,What is the sum of 12 and 62?,74,Basic,Class 12,CDC Nepal,Addition
1617,Mathematics,Solve for x: 5x + 30 = 85,x = 11,Basic,Class 6,Nepal Curriculum,Linear Equations
1618,Mathematics,What is the smallest prime number?,2,Basic,Class 6,NCERT,Prime Numbers
1619,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Medium,Class 7,NCERT,Circles
1620,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Basic,Class 8,NCERT,Mensuration
1621,Mathematics,What is the sum of 56 and 24?,80,Advanced,Class 10,NCERT,Addition
1622,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Basic,Class 7,CDC Nepal,Probability
1623,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Basic,Class 8,CBSE,Commercial Mathematics
1624,Mathematics,What is the area of a rectangle with length 10 cm and width 9 cm?,90 cm²,Medium,Class 11,CDC Nepal,Mensuration
1625,Mathematics,What is the area of a rectangle with length 14 cm and width 7 cm?,98 cm²,Basic,Class 8,CDC Nepal,Mensuration
1626,Mathematics,What is the slope of the line y = 2x + 3?,2,Medium,Class 11,Nepal Curriculum,Coordinate Geometry
1627,Mathematics,Solve for x: 4x + 24 = 60,x = 9,Medium,Class 9,NCERT,Linear Equations
1628,Mathematics,Solve for x: 5x + 10 = 25,x = 3,Medium,Class 9,NCERT,Linear Equations
1629,Mathematics,Solve for x: 4x + 17 = 85,x = 17,Basic,Class 8,NCERT,Linear Equations
1630,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Medium,Class 7,Nepal Curriculum,Circles
1631,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 6,CBSE,Mensuration
1632,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Basic,Class 7,CBSE,Circles
1633,Mathematics,Solve for x: 3x + 22 = 55,x = 11,Medium,Class 11,NCERT,Linear Equations
1634,Mathematics,Find the value of tan 45°.,1,Basic,Class 10,Nepal Curriculum,Trigonometry
1635,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Advanced,Class 8,NCERT,Mensuration
1636,Mathematics,Solve for x: 3x + 11 = 44,x = 11,Medium,Class 11,NCERT,Linear Equations
1637,Mathematics,Solve for x: 5x + 10 = 30,x = 4,Medium,Class 9,CBSE,Linear Equations
1638,Mathematics,Solve for x: 2x + 19 = 57,x = 19,Basic,Class 7,CBSE,Linear Equations
1639,Mathematics,What is the value of π approximately to two decimal places?,3.14,Basic,Class 9,NCERT,Circles
1640,Mathematics,What is the smallest prime number?,2,Basic,Class 6,NCERT,Prime Numbers
1641,Mathematics,Solve for x: 5x + 7 = 67,x = 12,Medium,Class 9,CBSE,Linear Equations
1642,Mathematics,What is the area of a rectangle with length 10 cm and width 10 cm?,100 cm²,Medium,Class 6,NCERT,Mensuration
1643,Mathematics,What is the sum of 11 and 27?,38,Basic,Class 10,CBSE,Addition
1644,Mathematics,What is 34 multiplied by 57?,1938,Medium,Class 11,NCERT,Multiplication
1645,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Basic,Class 12,NCERT,Linear Equations
1646,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Basic,Class 8,CBSE,Algebra
1647,Mathematics,What is the area of a rectangle with length 5 cm and width 12 cm?,60 cm²,Medium,Class 12,CDC Nepal,Mensuration
1648,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Basic,Class 7,CDC Nepal,Circles
1649,Mathematics,What is the area of a rectangle with length 13 cm and width 10 cm?,130 cm²,Basic,Class 11,CBSE,Mensuration
1650,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Basic,Class 8,CBSE,Commercial Mathematics
1651,Mathematics,What is the area of a rectangle with length 6 cm and width 13 cm?,78 cm²,Basic,Class 11,Nepal Curriculum,Mensuration
1652,Mathematics,What is 95 minus 37?,58,Medium,Class 6,CDC Nepal,Subtraction
1653,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Medium,Class 7,CBSE,Geometry
1654,Mathematics,What is the area of a rectangle with length 11 cm and width 4 cm?,44 cm²,Advanced,Class 8,Nepal Curriculum,Mensuration
1655,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Medium,Class 9,Nepal Curriculum,Statistics
1656,Mathematics,Solve for x: 2x + 9 = 29,x = 10,Basic,Class 7,CDC Nepal,Linear Equations
1657,Mathematics,What is 68 minus 33?,35,Basic,Class 11,NCERT,Subtraction
1658,Mathematics,Solve for x: 2x + 16 = 52,x = 18,Medium,Class 10,CDC Nepal,Linear Equations
1659,Mathematics,What is the value of π approximately to two decimal places?,3.14,Advanced,Class 9,CBSE,Circles
1660,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Medium,Class 8,NCERT,Mensuration
1661,Mathematics,Solve for x: 3x + 24 = 63,x = 13,Medium,Class 11,CBSE,Linear Equations
1662,Mathematics,What is the sum of 16 and 92?,108,Advanced,Class 9,NCERT,Addition
1663,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Basic,Class 7,CBSE,Linear Equations
1664,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Basic,Class 6,NCERT,Fractions and Decimals
1665,Mathematics,Solve for x: 3x + 28 = 40,x = 4,Medium,Class 11,CBSE,Linear Equations
1666,Mathematics,What is the area of a rectangle with length 14 cm and width 12 cm?,168 cm²,Basic,Class 7,CBSE,Mensuration
1667,Mathematics,What is the area of a rectangle with length 14 cm and width 6 cm?,84 cm²,Basic,Class 6,Nepal Curriculum,Mensuration
1668,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 6,CBSE,Mensuration
1669,Mathematics,Solve for x: 3x + 13 = 16,x = 1,Basic,Class 7,NCERT,Linear Equations
1670,Mathematics,What is the smallest prime number?,2,Advanced,Class 6,CDC Nepal,Prime Numbers
1671,Mathematics,What is 12 multiplied by 82?,984,Basic,Class 9,CBSE,Multiplication
1672,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Advanced,Class 10,NCERT,Geometry
1673,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Advanced,Class 9,NCERT,Circles
1674,Mathematics,What is the value of π approximately to two decimal places?,3.14,Advanced,Class 9,Nepal Curriculum,Circles
1675,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Advanced,Class 7,Nepal Curriculum,Geometry
1676,Mathematics,Find the value of tan 45°.,1,Advanced,Class 10,CDC Nepal,Trigonometry
1677,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Basic,Class 11,NCERT,Circles
1678,Mathematics,What is the area of a rectangle with length 6 cm and width 12 cm?,72 cm²,Basic,Class 12,CDC Nepal,Mensuration
1679,Mathematics,Solve for x: 2x + 28 = 60,x = 16,Medium,Class 10,CDC Nepal,Linear Equations
1680,Mathematics,What is the value of sin 30°?,01-Feb,Advanced,Class 10,NCERT,Trigonometry
1681,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Medium,Class 6,CDC Nepal,Mensuration
1682,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Basic,Class 9,CDC Nepal,Triangles
1683,Mathematics,What is the area of a rectangle with length 13 cm and width 4 cm?,52 cm²,Advanced,Class 7,Nepal Curriculum,Mensuration
1684,Mathematics,What is the sum of 98 and 52?,150,Advanced,Class 11,NCERT,Addition
1685,Mathematics,What is the area of a rectangle with length 15 cm and width 11 cm?,165 cm²,Advanced,Class 9,CDC Nepal,Mensuration
1686,Mathematics,Solve for x: 2x + 15 = 23,x = 4,Basic,Class 7,Nepal Curriculum,Linear Equations
1687,Mathematics,What is 50 multiplied by 58?,2900,Advanced,Class 6,NCERT,Multiplication
1688,Mathematics,What is the slope of the line y = 2x + 3?,2,Advanced,Class 11,CDC Nepal,Coordinate Geometry
1689,Mathematics,What is the area of a rectangle with length 12 cm and width 12 cm?,144 cm²,Medium,Class 8,Nepal Curriculum,Mensuration
1690,Mathematics,What is the smallest prime number?,2,Advanced,Class 6,CDC Nepal,Prime Numbers
1691,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Basic,Class 8,CDC Nepal,Algebra
1692,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Basic,Class 8,NCERT,Algebra
1693,Mathematics,Solve for x: 5x + 25 = 120,x = 19,Basic,Class 8,Nepal Curriculum,Linear Equations
1694,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Medium,Class 11,Nepal Curriculum,Circles
1695,Mathematics,What is the area of a rectangle with length 3 cm and width 15 cm?,45 cm²,Advanced,Class 7,Nepal Curriculum,Mensuration
1696,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Medium,Class 11,NCERT,Quadratic Equations
1697,Mathematics,What is the value of π approximately to two decimal places?,3.14,Medium,Class 8,CDC Nepal,Circles
1698,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Medium,Class 8,Nepal Curriculum,Algebra
1699,Mathematics,What is 84 multiplied by 16?,1344,Medium,Class 10,CBSE,Multiplication
1700,Mathematics,Solve for x: 4x + 9 = 73,x = 16,Basic,Class 7,Nepal Curriculum,Linear Equations
1701,Mathematics,What is the value of sin 30°?,01-Feb,Advanced,Class 10,NCERT,Trigonometry
1702,Mathematics,What is the slope of the line y = 2x + 3?,2,Basic,Class 11,Nepal Curriculum,Coordinate Geometry
1703,Mathematics,Solve: 3y - 7 = 14,y = 7,Advanced,Class 7,Nepal Curriculum,Linear Equations
1704,Mathematics,What is 16 multiplied by 25?,400,Medium,Class 6,CBSE,Multiplication
1705,Mathematics,What is 25 minus 40?,-15,Advanced,Class 7,CDC Nepal,Subtraction
1706,Mathematics,Find the value of tan 45°.,1,Basic,Class 10,CDC Nepal,Trigonometry
1707,Mathematics,What is the number of sides in a hexagon?,6,Advanced,Class 12,CDC Nepal,Polygons
1708,Mathematics,What is the number of sides in a hexagon?,6,Medium,Class 6,NCERT,Polygons
1709,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 6,Nepal Curriculum,Mensuration
1710,Mathematics,What is the slope of the line y = 2x + 3?,2,Advanced,Class 11,CBSE,Coordinate Geometry
1711,Mathematics,Solve for x: 4x + 23 = 79,x = 14,Basic,Class 6,Nepal Curriculum,Linear Equations
1712,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Advanced,Class 6,Nepal Curriculum,Mensuration
1713,Mathematics,What is the area of a rectangle with length 11 cm and width 15 cm?,165 cm²,Basic,Class 11,CDC Nepal,Mensuration
1714,Mathematics,What is the slope of the line y = 2x + 3?,2,Advanced,Class 11,NCERT,Coordinate Geometry
1715,Mathematics,What is the sum of 86 and 98?,184,Advanced,Class 7,NCERT,Addition
1716,Mathematics,What is 83 multiplied by 36?,2988,Medium,Class 12,Nepal Curriculum,Multiplication
1717,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Basic,Class 8,NCERT,Mensuration
1718,Mathematics,Solve for x: 3x + 14 = 17,x = 1,Basic,Class 8,NCERT,Linear Equations
1719,Mathematics,What is 72 minus 98?,-26,Medium,Class 10,CBSE,Subtraction
1720,Mathematics,What is the area of a rectangle with length 3 cm and width 6 cm?,18 cm²,Basic,Class 10,NCERT,Mensuration
1721,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Basic,Class 8,Nepal Curriculum,Algebra
1722,Mathematics,What is 42 minus 43?,-1,Basic,Class 8,Nepal Curriculum,Subtraction
1723,Mathematics,What is the HCF of 12 and 18?,6,Medium,Class 6,Nepal Curriculum,HCF and LCM
1724,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Advanced,Class 8,Nepal Curriculum,Mensuration
1725,Mathematics,Solve for x: 4x + 30 = 50,x = 5,Medium,Class 10,CDC Nepal,Linear Equations
1726,Mathematics,Find the value of tan 45°.,1,Basic,Class 10,CBSE,Trigonometry
1727,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Advanced,Class 7,CDC Nepal,Geometry
1728,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 6,CBSE,Polygons
1729,Mathematics,What is 58 minus 38?,20,Basic,Class 7,NCERT,Subtraction
1730,Mathematics,What is the area of a rectangle with length 15 cm and width 10 cm?,150 cm²,Basic,Class 6,NCERT,Mensuration
1731,Mathematics,What is the area of a rectangle with length 12 cm and width 4 cm?,48 cm²,Advanced,Class 11,NCERT,Mensuration
1732,Mathematics,What is the value of π approximately to two decimal places?,3.14,Basic,Class 9,CDC Nepal,Circles
1733,Mathematics,What is the area of a rectangle with length 14 cm and width 5 cm?,70 cm²,Medium,Class 7,Nepal Curriculum,Mensuration
1734,Mathematics,What is the slope of the line y = 2x + 3?,2,Advanced,Class 11,NCERT,Coordinate Geometry
1735,Mathematics,What is the area of a rectangle with length 9 cm and width 14 cm?,126 cm²,Medium,Class 11,CDC Nepal,Mensuration
1736,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Medium,Class 9,CBSE,Statistics
1737,Mathematics,Solve: 3y - 7 = 14,y = 7,Advanced,Class 7,Nepal Curriculum,Linear Equations
1738,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Medium,Class 6,CBSE,Mensuration
1739,Mathematics,What is the area of a rectangle with length 4 cm and width 5 cm?,20 cm²,Basic,Class 11,NCERT,Mensuration
1740,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Advanced,Class 8,NCERT,Algebra
1741,Mathematics,Solve for x: 2x + 17 = 51,x = 17,Medium,Class 9,NCERT,Linear Equations
1742,Mathematics,What is the area of a rectangle with length 14 cm and width 11 cm?,154 cm²,Advanced,Class 12,CBSE,Mensuration
1743,Mathematics,What is the area of a triangle with base 6 cm and height 8 cm?,24 cm²,Advanced,Class 7,NCERT,Mensuration
1744,Mathematics,What is 56 multiplied by 27?,1512,Advanced,Class 7,CBSE,Multiplication
1745,Mathematics,What is 24 multiplied by 53?,1272,Medium,Class 9,Nepal Curriculum,Multiplication
1746,Mathematics,Solve for x: 4x + 11 = 51,x = 10,Medium,Class 12,NCERT,Linear Equations
1747,Mathematics,What is the number of sides in a hexagon?,6,Medium,Class 10,NCERT,Polygons
1748,Mathematics,Solve for x: 5x + 15 = 115,x = 20,Medium,Class 10,CBSE,Linear Equations
1749,Mathematics,What is the smallest prime number?,2,Medium,Class 6,Nepal Curriculum,Prime Numbers
1750,Mathematics,Solve for x: 3x + 18 = 27,x = 3,Basic,Class 6,NCERT,Linear Equations
1751,Mathematics,What is 60 minus 57?,3,Basic,Class 6,CBSE,Subtraction
1752,Mathematics,What is 66 minus 94?,-28,Advanced,Class 7,Nepal Curriculum,Subtraction
1753,Mathematics,Solve: 3y - 7 = 14,y = 7,Basic,Class 7,Nepal Curriculum,Linear Equations
1754,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Basic,Class 8,CDC Nepal,Algebra
1755,Mathematics,What is the area of a rectangle with length 10 cm and width 13 cm?,130 cm²,Basic,Class 8,CBSE,Mensuration
1756,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Advanced,Class 8,Nepal Curriculum,Commercial Mathematics
1757,Mathematics,What is the value of π approximately to two decimal places?,3.14,Advanced,Class 9,CDC Nepal,Circles
1758,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Basic,Class 7,Nepal Curriculum,Geometry
1759,Mathematics,What is the smallest prime number?,2,Advanced,Class 6,NCERT,Prime Numbers
1760,Mathematics,Solve for x: 4x + 20 = 60,x = 10,Basic,Class 8,NCERT,Linear Equations
1761,Mathematics,What is the area of a rectangle with length 5 cm and width 6 cm?,30 cm²,Advanced,Class 7,CBSE,Mensuration
1762,Mathematics,What is the area of a rectangle with length 9 cm and width 6 cm?,54 cm²,Medium,Class 12,CDC Nepal,Mensuration
1763,Mathematics,What is 85 multiplied by 90?,7650,Basic,Class 12,Nepal Curriculum,Multiplication
1764,Mathematics,What is the HCF of 12 and 18?,6,Medium,Class 6,CBSE,HCF and LCM
1765,Mathematics,What is the area of a rectangle with length 4 cm and width 3 cm?,12 cm²,Medium,Class 7,CDC Nepal,Mensuration
1766,Mathematics,What is the sum of 64 and 71?,135,Advanced,Class 8,CDC Nepal,Addition
1767,Mathematics,Solve for x: 5x + 12 = 72,x = 12,Basic,Class 8,CBSE,Linear Equations
1768,Mathematics,What is 51 minus 37?,14,Basic,Class 7,CDC Nepal,Subtraction
1769,Mathematics,Find the value of tan 45°.,1,Basic,Class 10,Nepal Curriculum,Trigonometry
1770,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Medium,Class 8,CBSE,Commercial Mathematics
1771,Mathematics,What is the smallest prime number?,2,Advanced,Class 6,Nepal Curriculum,Prime Numbers
1772,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Advanced,Class 9,CBSE,Statistics
1773,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Basic,Class 8,CDC Nepal,Mensuration
1774,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Basic,Class 7,NCERT,Geometry
1775,Mathematics,What is the number of sides in a hexagon?,6,Basic,Class 6,CDC Nepal,Polygons
1776,Mathematics,Solve for x: 3x + 22 = 70,x = 16,Basic,Class 6,Nepal Curriculum,Linear Equations
1777,Mathematics,What is the value of sin 30°?,01-Feb,Medium,Class 10,CBSE,Trigonometry
1778,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Advanced,Class 12,NCERT,Triangles
1779,Mathematics,What is the area of a rectangle with length 11 cm and width 15 cm?,165 cm²,Medium,Class 6,NCERT,Mensuration
1780,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Advanced,Class 8,CBSE,Mensuration
1781,Mathematics,What is the slope of the line y = 2x + 3?,2,Basic,Class 11,Nepal Curriculum,Coordinate Geometry
1782,Mathematics,What is 75 multiplied by 59?,4425,Medium,Class 9,CDC Nepal,Multiplication
1783,Mathematics,What is 83 multiplied by 37?,3071,Basic,Class 8,NCERT,Multiplication
1784,Mathematics,What is the area of a rectangle with length 14 cm and width 11 cm?,154 cm²,Advanced,Class 12,CBSE,Mensuration
1785,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Medium,Class 10,CBSE,Probability
1786,Mathematics,What is the area of a rectangle with length 7 cm and width 3 cm?,21 cm²,Basic,Class 7,Nepal Curriculum,Mensuration
1787,Mathematics,Solve for x: 2x + 5 = 11,x = 3,Basic,Class 8,Nepal Curriculum,Linear Equations
1788,Mathematics,What is 54 multiplied by 90?,4860,Advanced,Class 7,CBSE,Multiplication
1789,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Medium,Class 6,Nepal Curriculum,Fractions and Decimals
1790,Mathematics,What is the number of sides in a hexagon?,6,Medium,Class 10,NCERT,Polygons
1791,Mathematics,What is 12 multiplied by 78?,936,Advanced,Class 7,NCERT,Multiplication
1792,Mathematics,What is the number of sides in a hexagon?,6,Medium,Class 11,Nepal Curriculum,Polygons
1793,Mathematics,What is the sum of 90 and 60?,150,Medium,Class 7,CDC Nepal,Addition
1794,Mathematics,Solve: 3y - 7 = 14,y = 7,Medium,Class 7,CDC Nepal,Linear Equations
1795,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Medium,Class 10,Nepal Curriculum,Quadratic Equations
1796,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Advanced,Class 8,CBSE,Commercial Mathematics
1797,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Basic,Class 10,CDC Nepal,Quadratic Equations
1798,Mathematics,What is 41 multiplied by 68?,2788,Basic,Class 7,CDC Nepal,Multiplication
1799,Mathematics,What is the area of a triangle with base 6 cm and height 8 cm?,24 cm²,Basic,Class 7,NCERT,Mensuration
1800,Mathematics,What is the sum of 11 and 92?,103,Medium,Class 9,Nepal Curriculum,Addition
1801,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Medium,Class 6,NCERT,Mensuration
1802,Mathematics,What is the area of a rectangle with length 5 cm and width 3 cm?,15 cm²,Basic,Class 6,Nepal Curriculum,Mensuration
1803,Mathematics,What is the slope of the line y = 2x + 3?,2,Medium,Class 11,Nepal Curriculum,Coordinate Geometry
1804,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Basic,Class 8,NCERT,Commercial Mathematics
1805,Mathematics,What is 15 multiplied by 23?,345,Advanced,Class 8,CBSE,Multiplication
1806,Mathematics,Solve: 3y - 7 = 14,y = 7,Basic,Class 7,Nepal Curriculum,Linear Equations
1807,Mathematics,Solve: 3y - 7 = 14,y = 7,Medium,Class 7,CBSE,Linear Equations
1808,Mathematics,What is the area of a rectangle with length 14 cm and width 4 cm?,56 cm²,Advanced,Class 7,CDC Nepal,Mensuration
1809,Mathematics,Find the sum of interior angles of a triangle.,180 degrees,Basic,Class 7,CBSE,Geometry
1810,Mathematics,Find the value of tan 45°.,1,Basic,Class 10,CBSE,Trigonometry
